task_id,train_count,predicted_count,exact_count,error_count,total_score,tried_any,tried_all,fully_solved,partially_solved,tried_but_not_fully_exact
4c416de3,3,3,0,0,83,True,True,False,False,True
4c7dc4dd,2,2,0,0,14,True,True,False,False,True
4e34c42c,2,2,0,0,2,True,True,False,False,True
53fb4810,2,2,0,0,10,True,True,False,False,True
5545f144,3,3,0,0,38,True,True,False,False,True
581f7754,3,2,0,0,3,True,False,False,False,True
58490d8a,3,3,0,0,113,True,True,False,False,True
58f5dbd5,3,3,0,0,10,True,True,False,False,True
5961cc34,4,4,0,0,0,True,True,False,False,True
5dbc8537,2,2,0,0,107,True,True,False,False,True
62593bfd,2,2,0,0,267,True,True,False,False,True
64efde09,2,2,0,0,0,True,True,False,False,True
65b59efc,3,3,0,0,49,True,True,False,False,True
67e490f4,2,2,0,0,0,True,True,False,False,True
6e453dd6,3,3,0,0,27,True,True,False,False,True
6e4f6532,2,2,0,0,10,True,True,False,False,True
6ffbe589,3,3,0,0,132,True,True,False,False,True
71e489b6,3,3,0,0,177,True,True,False,False,True
7491f3cf,4,4,0,0,41,True,True,False,False,True
7666fa5d,2,2,0,0,0,True,True,False,False,True
78332cb0,3,2,0,0,1,True,False,False,False,True
7b0280bc,3,3,0,0,13,True,True,False,False,True
7b3084d4,3,3,0,0,5,True,True,False,False,True
7b5033c1,2,2,0,0,1,True,True,False,False,True
7b80bb43,2,2,0,0,388,True,True,False,False,True
7c66cb00,3,3,0,0,16,True,True,False,False,True
7ed72f31,2,2,0,0,7,True,True,False,False,True
800d221b,3,3,0,0,7,True,True,False,False,True
80a900e0,2,2,0,0,316,True,True,False,False,True
8698868d,2,2,0,0,7,True,True,False,False,True
88bcf3b4,5,4,0,0,25,True,False,False,False,True
88e364bc,3,3,0,0,468,True,True,False,False,True
89565ca0,3,3,0,0,7,True,True,False,False,True
898e7135,2,2,0,0,7,True,True,False,False,True
8b7bacbf,4,3,0,0,401,True,False,False,False,True
8b9c3697,3,3,0,0,30,True,True,False,False,True
8e5c0c38,2,2,0,0,288,True,True,False,False,True
8f215267,3,3,0,0,15,True,True,False,False,True
8f3a5a89,3,3,0,0,1,True,True,False,False,True
9385bd28,4,4,0,0,115,True,True,False,False,True
97d7923e,3,3,0,0,104,True,True,False,False,True
981571dc,4,4,0,0,26,True,True,False,False,True
9aaea919,3,3,0,0,91,True,True,False,False,True
9bbf930d,3,3,0,0,18,True,True,False,False,True
a251c730,2,2,0,0,5,True,True,False,False,True
a25697e4,3,3,0,0,29,True,True,False,False,True
a32d8b75,3,3,0,0,5,True,True,False,False,True
a395ee82,3,3,0,0,4,True,True,False,False,True
a47bf94d,3,3,0,0,608,True,True,False,False,True
a6f40cea,3,3,0,0,3,True,True,False,False,True
aa4ec2a5,3,3,0,0,11,True,True,False,False,True
abc82100,4,2,0,0,256,True,False,False,False,True
b0039139,4,3,0,0,0,True,False,False,False,True
b10624e5,2,2,0,0,0,True,True,False,False,True
b5ca7ac4,3,3,0,0,207,True,True,False,False,True
b6f77b65,5,5,0,0,128,True,True,False,False,True
b99e7126,3,3,0,0,30,True,True,False,False,True
b9e38dc0,3,3,0,0,12,True,True,False,False,True
bf45cf4b,3,3,0,0,101,True,True,False,False,True
c4d067a0,3,3,0,0,23,True,True,False,False,True
c7f57c3e,2,2,0,0,6,True,True,False,False,True
cb2d8a2c,4,4,0,0,2,True,True,False,False,True
cbebaa4b,2,2,0,0,514,True,True,False,False,True
d35bdbdc,3,3,0,0,28,True,True,False,False,True
d59b0160,3,3,0,0,50,True,True,False,False,True
d8e07eb2,5,5,0,0,55,True,True,False,False,True
da515329,3,3,0,0,234,True,True,False,False,True
db0c5428,3,3,0,0,7,True,True,False,False,True
db695cfb,5,5,0,0,6,True,True,False,False,True
dbff022c,3,3,0,0,42,True,True,False,False,True
dd6b8c4b,3,3,0,0,0,True,True,False,False,True
de809cff,2,2,0,0,101,True,True,False,False,True
dfadab01,4,4,0,0,276,True,True,False,False,True
e12f9a14,4,3,0,0,4,True,False,False,False,True
e3721c99,2,2,0,0,922,True,True,False,False,True
e376de54,3,3,0,0,2,True,True,False,False,True
e8686506,2,2,0,0,1,True,True,False,False,True
e87109e9,3,3,0,0,19,True,True,False,False,True
edb79dae,2,2,0,0,6,True,True,False,False,True
eee78d87,3,0,0,0,0,False,False,False,False,False
f560132c,2,2,0,0,7,True,True,False,False,True
f931b4a8,5,1,0,0,4,True,False,False,False,True
faa9f03d,3,3,0,0,83,True,True,False,False,True
fc7cae8d,3,3,0,0,14,True,True,False,False,True
